Level,District Code,District_Name,School Code,School_Name,Content,Test_Grade,# of Total Records,Valid_Scores,# of No Scores,Participation Rate,Mean Scale Score,# Did Not Yet Meet Expectations,Percent_Did_Not_Yet_Meet_Expectations,# Partially Met Expectations,Percent_Partially_Met_Expectations,# Approached Expectations,Percent_Approached_Expectations,# Met Expectations,Percent_Met_Expectations,# Exceeded Expectations,Percent_Exceeded_Expectations,# Met or Exceeded Expectations,Percent_Met_or_Exceeded_Expectations,2017 Mean Scale Score**,2017 # Met or Exceeded Expectations**,2017 % Met or Exceeded Expectations**,% Change in Met or Exceeded Expectations**
DISTRICT,0770,CROWLEY COUNTY RE-1-J,0000,All Schools,English Language Arts,English Language Arts Grade 05,      31,      31,       0,100.0,738,*,*,*,*,       7,22.6,*,*,*,*,      13,41.9,719,       7,19.4,  22.5
DISTRICT,0770,CROWLEY COUNTY RE-1-J,0000,All Schools,English Language Arts,English Language Arts Grade 06,      37,      36,       1,97.3,747,*,*,*,*,      11,30.6,*,*,*,*,      19,52.8,734,       9,23.1,  29.7
DISTRICT,0770,CROWLEY COUNTY RE-1-J,0000,All Schools,English Language Arts,English Language Arts Grade 07,      38,      38,       0,100.0,742,*,*,*,*,      16,42.1,*,*,*,*,      13,34.2,726,       9,23.1,  11.1
DISTRICT,0770,CROWLEY COUNTY RE-1-J,0000,All Schools,English Language Arts,English Language Arts Grade 08,      31,      31,       0,100.0,722,      10,32.3,       5,16.1,       9,29.0,*,*,*,*,       7,22.6,728,       9,25.7,  -3.1
DISTRICT,0770,CROWLEY COUNTY RE-1-J,0000,All Schools,Mathematics,All Grades,     213,     210,       3,98.6,731,      31,14.8,      52,24.8,      73,34.8,*,*,*,*,      54,25.7,726,      51,21.2,   4.5
DISTRICT,0770,CROWLEY COUNTY RE-1-J,0000,All Schools,Mathematics,Mathematics Grade 03,      35,      33,       2,94.3,735,       4,12.1,      10,30.3,       8,24.2,*,*,*,*,      11,33.3,742,      15,41.7,  -8.4
DISTRICT,0770,CROWLEY COUNTY RE-1-J,0000,All Schools,Mathematics,Mathematics Grade 04,      41,      41,       0,100.0,750,*,*,*,*,       9,22.0,*,*,*,*,      23,56.1,732,       9,30.0,  26.1
DISTRICT,0770,CROWLEY COUNTY RE-1-J,0000,All Schools,Mathematics,Mathematics Grade 05,      31,      31,       0,100.0,726,*,*,*,*,      14,45.2,*,*,*,*,       5,16.1,714,       5,14.3,   1.8
DISTRICT,0770,CROWLEY COUNTY RE-1-J,0000,All Schools,Mathematics,Mathematics Grade 06,      37,      36,       1,97.3,723,       6,16.7,      13,36.1,      12,33.3,*,*,*,*,       5,13.9,733,       6,15.4,  -1.5
DISTRICT,0770,CROWLEY COUNTY RE-1-J,0000,All Schools,Mathematics,Mathematics Grade 07,      38,      38,       0,100.0,726,       4,10.5,      10,26.3,      20,52.6,*,*,*,*,       4,10.5,726,       7,17.9,  -7.4
DISTRICT,0770,CROWLEY COUNTY RE-1-J,0000,All Schools,Mathematics,Mathematics Grade 08,      31,      31,       0,100.0,724,       8,25.8,       7,22.6,      10,32.3,*,*,*,*,       6,19.4,726,       9,25.7,  -6.3
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,English Language Arts,All Grades,     155,     154,       1,99.4,744,      10,6.5,      35,22.7,      43,27.9,      61,39.6,       5,3.2,      66,42.9,741,      74,41.3,   1.6
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,English Language Arts,English Language Arts Grade 03,      34,      34,       0,100.0,740,*,*,*,*,       9,26.5,*,*,*,*,      14,41.2,731,      11,35.5,   5.7
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,English Language Arts,English Language Arts Grade 04,      28,      28,       0,100.0,758,*,*,*,*,       7,25.0,*,*,*,*,      17,60.7,728,       5,23.8,  36.9
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,English Language Arts,English Language Arts Grade 05,      24,      24,       0,100.0,733,*,*,*,*,       9,37.5,*,*,*,*,       5,20.8,750,       9,50.0, -29.2
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,English Language Arts,English Language Arts Grade 06,      22,      22,       0,100.0,738,*,*,*,*,*,*,*,*,*,*,       8,36.4,757,      12,57.1, -20.7
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,English Language Arts,English Language Arts Grade 07,      23,      23,       0,100.0,758,*,*,*,*,*,*,*,*,*,*,      15,65.2,753,      15,68.2,  -3.0
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,English Language Arts,English Language Arts Grade 08,      24,      23,       1,95.8,734,*,*,*,*,       8,34.8,*,*,*,*,       7,30.4,746,      13,44.8, -14.4
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,Mathematics,All Grades,     155,     154,       1,99.4,737,      11,7.1,      40,26.0,      56,36.4,*,*,*,*,      47,30.5,736,      45,25.1,   5.4
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,Mathematics,Mathematics Grade 03,      34,      34,       0,100.0,746,*,*,*,*,       6,17.6,*,*,*,*,      19,55.9,741,      11,35.5,  20.4
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,Mathematics,Mathematics Grade 04,      28,      28,       0,100.0,747,*,*,*,*,       7,25.0,*,*,*,*,      13,46.4,730,       7,33.3,  13.1
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,Mathematics,Mathematics Grade 05,      24,      24,       0,100.0,726,*,*,*,*,       4,16.7,*,*,*,*,       6,25.0,743,       6,33.3,  -8.3
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,Mathematics,Mathematics Grade 06,      22,      22,       0,100.0,725,*,*,       8,36.4,      10,45.5,*,*,*,*,*,*,736,       6,28.6,*
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,Mathematics,Mathematics Grade 07,      23,      23,       0,100.0,738,*,*,*,*,      15,65.2,*,*,*,*,       4,17.4,740,       7,31.8, -14.4
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0000,All Schools,Mathematics,Mathematics Grade 08,      24,      23,       1,95.8,732,*,*,       4,17.4,      14,60.9,*,*,*,*,*,*,729,*,*,*
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,English Language Arts,All Grades,      70,      69,       1,98.6,740,       7,10.1,      16,23.2,      21,30.4,*,*,*,*,      25,36.2,731,      23,24.5,  11.7
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,English Language Arts,English Language Arts Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,English Language Arts,English Language Arts Grade 04,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,740,       5,31.3,*
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,English Language Arts,English Language Arts Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,English Language Arts,English Language Arts Grade 06,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,725,*,*,*
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,English Language Arts,English Language Arts Grade 07,      16,      16,       0,100.0,736,*,*,*,*,       5,31.3,*,*,*,*,       5,31.3,*,*,*,*
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,English Language Arts,English Language Arts Grade 08,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,Mathematics,All Grades,      70,      69,       1,98.6,728,      12,17.4,      19,27.5,      21,30.4,*,*,*,*,      17,24.6,723,      13,13.8,  10.8
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,Mathematics,Mathematics Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,Mathematics,Mathematics Grade 04,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,720,*,*,*
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,Mathematics,Mathematics Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,Mathematics,Mathematics Grade 06,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,731,*,*,*
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,Mathematics,Mathematics Grade 07,      16,      16,       0,100.0,733,*,*,*,*,      11,68.8,*,*,*,*,*,*,*,*,*,*
DISTRICT,1980,DE BEQUE 49JT,0000,All Schools,Mathematics,Mathematics Grade 08,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,English Language Arts,All Grades,      82,      70,      12,85.4,717,      20,28.6,      15,21.4,      27,38.6,*,*,*,*,       8,11.4,716,      10,11.0,   0.4
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,English Language Arts,English Language Arts Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,English Language Arts,English Language Arts Grade 04,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,English Language Arts,English Language Arts Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,English Language Arts,English Language Arts Grade 06,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,English Language Arts,English Language Arts Grade 07,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,710,*,*,*
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,English Language Arts,English Language Arts Grade 08,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,Mathematics,All Grades,      82,      72,      10,87.8,715,      18,25.0,      23,31.9,      27,37.5,*,*,*,*,       4,5.6,713,       4,4.4,   1.2
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,Mathematics,Mathematics Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,Mathematics,Mathematics Grade 04,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,Mathematics,Mathematics Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,Mathematics,Mathematics Grade 06,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,Mathematics,Mathematics Grade 07,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,720,*,*,*
DISTRICT,0170,DEER TRAIL 26J,0000,All Schools,Mathematics,Mathematics Grade 08,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,English Language Arts,All Grades,     174,     173,       1,99.4,730,      25,14.5,      54,31.2,      49,28.3,*,*,*,*,      45,26.0,727,      58,26.7,  -0.7
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,English Language Arts,English Language Arts Grade 03,      20,      20,       0,100.0,729,*,*,*,*,*,*,*,*,*,*,       5,25.0,717,       7,20.6,   4.4
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,English Language Arts,English Language Arts Grade 04,      36,      36,       0,100.0,732,       7,19.4,       9,25.0,       9,25.0,*,*,*,*,      11,30.6,716,       6,14.0,  16.6
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,English Language Arts,English Language Arts Grade 05,      38,      38,       0,100.0,726,       6,15.8,      14,36.8,       9,23.7,*,*,*,*,       9,23.7,741,      10,47.6, -23.9
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,English Language Arts,English Language Arts Grade 06,      25,      24,       1,96.0,736,*,*,*,*,       9,37.5,*,*,*,*,       7,29.2,732,       9,27.3,   1.9
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,English Language Arts,English Language Arts Grade 07,      31,      31,       0,100.0,736,*,*,*,*,      13,41.9,*,*,*,*,       8,25.8,742,       9,39.1, -13.3
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,English Language Arts,English Language Arts Grade 08,      24,      24,       0,100.0,723,*,*,      12,50.0,*,*,*,*,*,*,       5,20.8,738,      10,41.7, -20.9
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,Mathematics,All Grades,     174,     173,       1,99.4,724,      36,20.8,      50,28.9,      59,34.1,*,*,*,*,      28,16.2,722,      39,17.7,  -1.5
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,Mathematics,Mathematics Grade 03,      20,      20,       0,100.0,727,*,*,*,*,*,*,*,*,*,*,*,*,721,       8,22.9,*
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,Mathematics,Mathematics Grade 04,      36,      36,       0,100.0,721,      11,30.6,       8,22.2,      10,27.8,*,*,*,*,       7,19.4,707,       4,9.3,  10.1
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,Mathematics,Mathematics Grade 05,      38,      38,       0,100.0,711,      10,26.3,      17,44.7,*,*,*,*,*,*,*,*,722,       4,19.0,*
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,Mathematics,Mathematics Grade 06,      25,      24,       1,96.0,726,       4,16.7,       8,33.3,*,*,*,*,*,*,*,*,728,       5,15.2,*
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,Mathematics,Mathematics Grade 07,      31,      31,       0,100.0,736,*,*,*,*,      18,58.1,*,*,*,*,       6,19.4,734,       6,26.1,  -6.7
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,Mathematics,Mathematics Grade 08,      22,      22,       0,100.0,723,       6,27.3,       5,22.7,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,2730,DEL NORTE C-7,0000,All Schools,Mathematics,Algebra I,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,NA,NA,NA,NA
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,English Language Arts,All Grades,"   2,139","   2,064",      75,96.5,744,     256,12.4,     343,16.6,     511,24.8,     794,38.5,     160,7.8,     954,46.2,743,"   1,040",44.7,   1.5
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,English Language Arts,English Language Arts Grade 03,     333,     322,      11,96.7,739,      57,17.7,      60,18.6,      71,22.0,     122,37.9,      12,3.7,     134,41.6,737,     126,39.0,   2.6
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,English Language Arts,English Language Arts Grade 04,     351,     342,       9,97.4,744,      35,10.2,      66,19.3,      92,26.9,     125,36.5,      24,7.0,     149,43.6,742,     150,43.7,  -0.1
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,English Language Arts,English Language Arts Grade 05,     367,     357,      10,97.3,749,      32,9.0,      45,12.6,      82,23.0,     177,49.6,      21,5.9,     198,55.5,754,     205,58.4,  -2.9
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,English Language Arts,English Language Arts Grade 06,     390,     372,      18,95.4,745,      37,9.9,      64,17.2,      98,26.3,     147,39.5,      26,7.0,     173,46.5,741,     134,42.0,   4.5
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,English Language Arts,English Language Arts Grade 07,     339,     328,      11,96.8,742,      56,17.1,      46,14.0,      72,22.0,     109,33.2,      45,13.7,     154,47.0,744,     146,42.8,   4.2
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,English Language Arts,English Language Arts Grade 08,     359,     343,      16,95.5,743,      39,11.4,      62,18.1,      96,28.0,     114,33.2,      32,9.3,     146,42.6,745,     149,46.1,  -3.5
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,Mathematics,All Grades,"   2,140","   2,061",      79,96.3,732,     300,14.6,     511,24.8,     650,31.5,     547,26.5,      53,2.6,     600,29.1,729,     606,26.3,   2.8
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,Mathematics,Mathematics Grade 03,     334,     323,      11,96.7,737,      48,14.9,      61,18.9,      94,29.1,     100,31.0,      20,6.2,     120,37.2,732,     104,32.0,   5.2
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,Mathematics,Mathematics Grade 04,     351,     342,       9,97.4,725,      68,19.9,     105,30.7,      98,28.7,*,*,*,*,      71,20.8,728,      93,27.2,  -6.4
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,Mathematics,Mathematics Grade 05,     367,     357,      10,97.3,732,      55,15.4,      95,26.6,     104,29.1,*,*,*,*,     103,28.9,734,     115,32.9,  -4.0
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,Mathematics,Mathematics Grade 06,     390,     371,      19,95.1,733,      46,12.4,      94,25.3,     124,33.4,     102,27.5,       5,1.3,     107,28.8,727,      73,22.9,   5.9
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,Mathematics,Mathematics Grade 07,     339,     328,      11,96.8,731,      35,10.7,      77,23.5,     135,41.2,*,*,*,*,      81,24.7,727,      65,19.2,   5.5
DISTRICT,0870,DELTA COUNTY 50(J),0000,All Schools,Mathematics,Mathematics Grade 08,     359,     340,      19,94.7,735,      48,14.1,      79,23.2,      95,27.9,     108,31.8,      10,2.9,     118,34.7,722,      45,18.4,  16.3
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,English Language Arts,All Grades,"  38,546","  37,591",     955,97.5,741,"   6,098",16.2,"   7,052",18.8,"   8,713",23.2,"  11,534",30.7,"   4,194",11.2,"  15,728",41.8,739,"  17,076",39.4,   2.4
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,English Language Arts,English Language Arts Grade 03,"   5,855","   5,737",     118,98.0,736,"   1,308",22.8,"   1,057",18.4,"   1,205",21.0,"   1,859",32.4,     308,5.4,"   2,167",37.8,735,"   2,239",37.9,  -0.1
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,English Language Arts,English Language Arts Grade 04,"   6,456","   6,336",     120,98.1,742,     915,14.4,"   1,305",20.6,"   1,457",23.0,"   1,903",30.0,     756,11.9,"   2,659",42.0,739,"   2,624",40.1,   1.9
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,English Language Arts,English Language Arts Grade 05,"   7,025","   6,867",     158,97.8,742,     919,13.4,"   1,292",18.8,"   1,784",26.0,"   2,481",36.1,     391,5.7,"   2,872",41.8,741,"   2,681",40.6,   1.2
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,English Language Arts,English Language Arts Grade 06,"   6,534","   6,387",     147,97.8,740,     853,13.4,"   1,381",21.6,"   1,654",25.9,"   1,844",28.9,     655,10.3,"   2,499",39.1,740,"   2,438",38.0,   1.1
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,English Language Arts,English Language Arts Grade 07,"   6,476","   6,257",     219,96.6,744,"   1,139",18.2,"   1,011",16.2,"   1,255",20.1,"   1,626",26.0,"   1,226",19.6,"   2,852",45.6,741,"   2,501",41.3,   4.3
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,English Language Arts,English Language Arts Grade 08,"   6,200","   6,007",     193,96.9,745,     964,16.0,"   1,006",16.7,"   1,358",22.6,"   1,821",30.3,     858,14.3,"   2,679",44.6,740,"   2,434",41.3,   3.3
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,Mathematics,All Grades,"  40,589","  39,836",     753,98.1,733,"   7,466",18.7,"   9,631",24.2,"   9,998",25.1,"  10,336",25.9,"   2,405",6.0,"  12,741",32.0,731,"  13,543",29.8,   2.2
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,Mathematics,Mathematics Grade 03,"   7,099","   6,998",     101,98.6,737,"   1,162",16.6,"   1,444",20.6,"   1,742",24.9,"   2,044",29.2,     606,8.7,"   2,650",37.9,735,"   2,590",35.8,   2.1
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,Mathematics,Mathematics Grade 04,"   7,248","   7,149",      99,98.6,732,"   1,420",19.9,"   1,726",24.1,"   1,749",24.5,"   1,973",27.6,     281,3.9,"   2,254",31.5,731,"   2,129",30.0,   1.5
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,Mathematics,Mathematics Grade 05,"   7,034","   6,911",     123,98.3,735,"   1,071",15.5,"   1,702",24.6,"   1,852",26.8,"   1,839",26.6,     447,6.5,"   2,286",33.1,732,"   2,022",30.4,   2.7
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,Mathematics,Mathematics Grade 06,"   6,533","   6,437",      96,98.5,728,"   1,342",20.8,"   1,886",29.3,"   1,528",23.7,"   1,349",21.0,     332,5.2,"   1,681",26.1,728,"   1,705",26.4,  -0.3
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,Mathematics,Mathematics Grade 07,"   6,478","   6,315",     163,97.5,732,     989,15.7,"   1,632",25.8,"   1,901",30.1,"   1,449",22.9,     344,5.4,"   1,793",28.4,731,"   1,613",26.6,   1.8
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,Mathematics,Mathematics Grade 08,"   6,161","   5,991",     170,97.2,732,*,*,*,*,*,*,"   1,657",27.7,     386,6.4,"   2,043",34.1,724,"   1,442",26.2,   7.9
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,Mathematics,Algebra I,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,NA,NA,NA,NA
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,Mathematics,Geometry,      21,      21,       0,100.0,773,*,*,*,*,*,*,*,*,*,*,*,*,NA,NA,NA,NA
DISTRICT,0880,DENVER COUNTY 1,0000,All Schools,Mathematics,Integrated II,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,NA,NA,NA,NA
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,English Language Arts,All Grades,     101,      17,      84,16.8,726,*,*,*,*,       5,29.4,*,*,*,*,       4,23.5,735,       6,26.1,  -2.6
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,English Language Arts,English Language Arts Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,English Language Arts,English Language Arts Grade 04,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,English Language Arts,English Language Arts Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,English Language Arts,English Language Arts Grade 06,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,English Language Arts,English Language Arts Grade 07,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,English Language Arts,English Language Arts Grade 08,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,Mathematics,All Grades,     101,      16,      85,15.8,730,*,*,*,*,       5,31.3,*,*,*,*,       4,25.0,718,*,*,*
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,Mathematics,Mathematics Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,Mathematics,Mathematics Grade 04,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,Mathematics,Mathematics Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,Mathematics,Mathematics Grade 06,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,Mathematics,Mathematics Grade 07,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0890,DOLORES COUNTY RE NO.2,0000,All Schools,Mathematics,Mathematics Grade 08,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,2055,DOLORES RE-4A,0000,All Schools,English Language Arts,All Grades,     344,     328,      16,95.3,732,      52,15.9,      99,30.2,      73,22.3,      95,29.0,       9,2.7,     104,31.7,720,      48,16.2,  15.5
DISTRICT,2055,DOLORES RE-4A,0000,All Schools,English Language Arts,English Language Arts Grade 03,      65,      64,       1,98.5,743,       6,9.4,      16,25.0,      13,20.3,*,*,*,*,      29,45.3,736,      18,34.0,  11.3
DISTRICT,2055,DOLORES RE-4A,0000,All Schools,English Language Arts,English Language Arts Grade 04,      63,      62,       1,98.4,741,       5,8.1,      12,19.4,      21,33.9,*,*,*,*,      24,38.7,729,      13,26.5,  12.2
DISTRICT,2055,DOLORES RE-4A,0000,All Schools,English Language Arts,English Language Arts Grade 05,      51,      48,       3,94.1,747,       5,10.4,      11,22.9,      13,27.1,      14,29.2,       5,10.4,      19,39.6,722,       9,16.1,  23.5
DISTRICT,2055,DOLORES RE-4A,0000,All Schools,English Language Arts,English Language Arts Grade 06,      63,      63,       0,100.0,725,      10,15.9,      26,41.3,      13,20.6,*,*,*,*,      14,22.2,715,*,*,*
DISTRICT,2055,DOLORES RE-4A,0000,All Schools,English Language Arts,English Language Arts Grade 07,      57,      50,       7,87.7,724,       8,16.0,      21,42.0,       8,16.0,*,*,*,*,      13,26.0,702,       4,10.8,  15.2
DISTRICT,2055,DOLORES RE-4A,0000,All Schools,English Language Arts,English Language Arts Grade 08,      45,      41,       4,91.1,706,      18,43.9,      13,31.7,       5,12.2,*,*,*,*,       5,12.2,709,*,*,*
DISTRICT,2055,DOLORES RE-4A,0000,All Schools,Mathematics,All Grades,     345,     328,      17,95.1,729,      57,17.4,     101,30.8,      89,27.1,      74,22.6,       7,2.1,      81,24.7,714,      43,14.0,  10.7
DISTRICT,2055,DOLORES RE-4A,0000,All Schools,Mathematics,Mathematics Grade 03,      65,      62,       3,95.4,741,       7,11.3,      12,19.4,      15,24.2,*,*,*,*,      28,45.2,737,      19,33.9,  11.3
DISTRICT,2055,DOLORES RE-4A,0000,All Schools,Mathematics,Mathematics Grade 04,      63,      62,       1,98.4,736,       7,11.3,      16,25.8,      21,33.9,*,*,*,*,      18,29.0,726,      13,25.0,   4.0
DISTRICT,2055,DOLORES RE-4A,0000,All Schools,Mathematics,Mathematics Grade 05,      51,      49,       2,96.1,729,       8,16.3,      19,38.8,       6,12.2,*,*,*,*,      16,32.7,707,       5,8.3,  24.4
