Dir_Name_Display,Dir_School_Code,Dir_Zip,Dir_School_Code - Longitude,Dir_School_Code - Latitude,Dir_Ward,GR_Text,Facil_Art,Facil_Audit,Facil_Comp,Facil_Gym,Facil_Media,Facil_Music,Facil_Outdoor_Rec,Facil_Pool,Facil_Science,After_care,Before_care,Uniform,Title_1,Trans_Bus,Trans_Metro,Enroll_Total,Demo_Asian,Demo_Black,Demo_Hispanic,Demo_N.Amer,Demo_White,Demo_Multi,Demo_NHawPI,Demo_ELL,Demo_SPED,Demo_EconDis,Demo_Inboundary,math_pct_1_current,math_pct_1_prior,math_pct_2_current,math_pct_2_prior,math_pct_3_current,math_pct_3_prior,math_pct_4_current,math_pct_4_prior,math_pct_5_current,math_pct_5_prior,math_district_pct_1,math_district_pct_2,math_district_pct_3,math_district_pct_4,math_district_pct_5,ela_pct_1_current,ela_pct_1_prior,ela_pct_2_current,ela_pct_2_prior,ela_pct_3_current,ela_pct_3_prior,ela_pct_4_current,ela_pct_4_prior,ela_pct_5_current,ela_pct_5_prior,ela_district_pct_1,ela_district_pct_2,ela_district_pct_3,ela_district_pct_4,ela_district_pct_5,Perf_Grad_4yr_Current_Year,Perf_Grad_4yr_Prior_Year,Perf_Grad_4yr_District_Average,Perf_Grad_5yr_Current_Year,Perf_Grad_5yr_Prior_Year,Perf_Grad_5yr_District_Average,Perf_AP_Current_Year,Perf_AP_Prior_Year,Perf_AP_District_Average,Safe_Truancy_Current_Year,Safe_Truancy_Prior_Year,Safe_Truancy_District_Average,Safe_Suspension_Current_Year,Safe_Suspension_Prior_Year,Safe_Suspension_District_Average,Safe_Incidents_Current_Year,Safe_Incidents_Prior_Year,Safe_Incidents_District_Average,Safe_Safety_Current_Year,Safe_Safety_Prior_Year,Safe_Safety_District_Average,Perf_Engage_Current_Year,Perf_Engage_Prior_Year,Perf_Engage_District_Average,Perf_Teachers_Current_Year,Perf_Teachers_Prior_Year,Perf_Teachers_District_Average
LaSalle-Backus Education Campus,264,20011,-76.99988254,38.95997214,4,PK3-8th,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,E4 F1 F2 K6 K9 R1 R2,,369,0%,52%,46%,1%,1%,1%,0%,36%,18%,100%,56%,33%,25%,31%,34%,22%,27%,15%,12%,0%,1%,23%,27%,23%,23%,5%,35%,37%,26%,28%,26%,25%,12%,11%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,11%,4%,15%,7%,4%,4%,0%,0%,0%,81%,79%,86%,72%,76%,85%,100%,93%,92%
Ludlow-Taylor Elementary School,271,20002,-76.99649249,38.89874414,6,PK3-5th,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,90 92 D4 D6 D8 X1 X2 X9,Red Line: Union Station,373,2%,59%,6%,0%,29%,5%,0%,1%,16%,100%,34%,3%,7%,25%,27%,30%,26%,38%,34%,4%,5%,23%,27%,23%,23%,5%,4%,2%,9%,18%,25%,39%,50%,40%,11%,2%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,6%,7%,13%,1%,7%,4%,0%,0%,0%,89%,85%,85%,98%,89%,89%,94%,96%,92%
Mann Elementary School,273,20016,-77.08782619,38.93429231,3,PK4-5th,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,M4 N2 N4 N6,,379,7%,12%,13%,0%,65%,3%,0%,6%,6%,6%,80%,0%,1%,6%,6%,18%,16%,56%,57%,20%,19%,23%,27%,23%,23%,5%,1%,0%,5%,4%,15%,15%,60%,58%,19%,23%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,0%,13%,0%,0%,4%,0%,0%,0%,98%,98%,85%,97%,98%,89%,75%,92%,92%
Marie Reed Elementary School,284,20011,-77.040822,38.919112,1,PK3-5th,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,42 43 L1 H1 90 96 S1 S2 S4 S9 X3 DCCirculator,,398,6%,15%,63%,1%,13%,3%,0%,46%,10%,100%,33%,5%,7%,20%,20%,29%,31%,42%,39%,4%,4%,23%,27%,23%,23%,5%,11%,12%,20%,22%,30%,30%,36%,33%,3%,2%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,5%,4%,13%,2%,3%,4%,0%,0%,0%,95%,83%,85%,99%,96%,89%,97%,97%,92%
Maury Elementary School,274,20002,-76.9886575,38.89218519,6,PK3-5th,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,90 92 96 97 B2 D6 X8,,387,3%,28%,5%,0%,57%,6%,0%,0%,6%,14%,79%,6%,13%,13%,25%,23%,19%,36%,32%,22%,12%,23%,27%,23%,23%,5%,6%,13%,18%,22%,16%,20%,46%,39%,15%,6%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1%,0%,13%,0%,1%,4%,0%,0%,0%,89%,94%,85%,92%,97%,89%,89%,88%,92%
Moten Elementary School,285,20020,-76.98294368,38.856656,8,PK3-5th,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,94 W2 W3 W6 W8,,405,0%,97%,2%,0%,0%,0%,0%,0%,12%,100%,65%,37%,31%,32%,43%,22%,19%,9%,7%,0%,0%,23%,27%,23%,23%,5%,41%,51%,31%,32%,21%,14%,7%,3%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,35%,4%,13%,6%,4%,4%,0%,0%,0%,67%,74%,85%,89%,82%,89%,80%,96%,92%
Murch Elementary School @ UDC,287,20008,-77.067415,38.943543,3,PK4-5th,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,D32 H2 L1 L2,Red Line: Van Ness-UDC Station,572,10%,12%,10%,0%,59%,5%,2%,8%,8%,10%,75%,6%,3%,6%,10%,16%,17%,54%,47%,18%,24%,23%,27%,23%,23%,5%,4%,6%,10%,10%,13%,18%,54%,53%,19%,13%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,2%,1%,13%,0%,0%,4%,0%,0%,0%,93%,96%,85%,96%,96%,89%,91%,82%,92%
Nalle Elementary School,288,20019,-76.93079651,38.88595442,7,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,96 97 E32 U5 U6 U8 W4,,391,0%,92%,7%,0%,0%,0%,0%,1%,11%,100%,57%,28%,21%,26%,32%,25%,28%,19%,19%,2%,1%,23%,27%,23%,23%,5%,35%,35%,28%,32%,22%,24%,13%,10%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,1%,13%,5%,9%,4%,0%,0%,0%,70%,78%,85%,87%,92%,89%,100%,100%,92%
Orr Elementary School,291,20020,-76.97448402,38.87179716,8,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,30N 30S 32 34 36 39 A31 D51 B2 M6 V1 V2 V4 DCCirculator,,408,0%,97%,2%,0%,0%,0%,0%,0%,11%,100%,39%,22%,27%,27%,35%,37%,23%,14%,15%,1%,1%,23%,27%,23%,23%,5%,27%,30%,35%,31%,25%,25%,12%,13%,1%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,16%,6%,13%,2%,3%,4%,0%,0%,0%,81%,92%,85%,96%,96%,89%,88%,100%,92%
Oyster-Adams Bilingual School,292,20008,-77.05720337,38.92359583,3,PK4-8th,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,42 43 96 H1 L1 L2 X3,Primary Campus: Red Line: Woodley Park-Zoo Metro Station,674,2%,5%,58%,0%,30%,4%,0%,15%,10%,23%,46%,4%,5%,12%,13%,29%,28%,46%,43%,10%,11%,23%,27%,23%,23%,5%,3%,5%,8%,12%,20%,24%,52%,48%,16%,12%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,2%,1%,15%,0%,1%,4%,0%,0%,0%,95%,94%,86%,91%,90%,85%,94%,88%,92%
