Dir_Name_Display,Dir_School_Code,Dir_Zip,Dir_School_Code - Longitude,Dir_School_Code - Latitude,Dir_Ward,GR_Text,Facil_Art,Facil_Audit,Facil_Comp,Facil_Gym,Facil_Media,Facil_Music,Facil_Outdoor_Rec,Facil_Pool,Facil_Science,After_care,Before_care,Uniform,Title_1,Trans_Bus,Trans_Metro,Enroll_Total,Demo_Asian,Demo_Black,Demo_Hispanic,Demo_N.Amer,Demo_White,Demo_Multi,Demo_NHawPI,Demo_ELL,Demo_SPED,Demo_EconDis,Demo_Inboundary,math_pct_1_current,math_pct_1_prior,math_pct_2_current,math_pct_2_prior,math_pct_3_current,math_pct_3_prior,math_pct_4_current,math_pct_4_prior,math_pct_5_current,math_pct_5_prior,math_district_pct_1,math_district_pct_2,math_district_pct_3,math_district_pct_4,math_district_pct_5,ela_pct_1_current,ela_pct_1_prior,ela_pct_2_current,ela_pct_2_prior,ela_pct_3_current,ela_pct_3_prior,ela_pct_4_current,ela_pct_4_prior,ela_pct_5_current,ela_pct_5_prior,ela_district_pct_1,ela_district_pct_2,ela_district_pct_3,ela_district_pct_4,ela_district_pct_5,Perf_Grad_4yr_Current_Year,Perf_Grad_4yr_Prior_Year,Perf_Grad_4yr_District_Average,Perf_Grad_5yr_Current_Year,Perf_Grad_5yr_Prior_Year,Perf_Grad_5yr_District_Average,Perf_AP_Current_Year,Perf_AP_Prior_Year,Perf_AP_District_Average,Safe_Truancy_Current_Year,Safe_Truancy_Prior_Year,Safe_Truancy_District_Average,Safe_Suspension_Current_Year,Safe_Suspension_Prior_Year,Safe_Suspension_District_Average,Safe_Incidents_Current_Year,Safe_Incidents_Prior_Year,Safe_Incidents_District_Average,Safe_Safety_Current_Year,Safe_Safety_Prior_Year,Safe_Safety_District_Average,Perf_Engage_Current_Year,Perf_Engage_Prior_Year,Perf_Engage_District_Average,Perf_Teachers_Current_Year,Perf_Teachers_Prior_Year,Perf_Teachers_District_Average
Eastern High School,457,20003,-76.97968429,38.89040266,6,9th-12th,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,96 97 B2 D6 E32,Blue/Orange/Silver Lines: Stadium-Armory Station,818,0%,97%,1%,0%,1%,0%,0%,1%,26%,100%,38%,25%,25%,57%,59%,17%,15%,1%,1%,0%,0%,23%,27%,23%,23%,5%,46%,43%,19%,21%,15%,19%,19%,16%,1%,2%,26%,21%,21%,25%,7%,79%,79%,73%,82%,75%,74%,4%,4%,36%,67%,67%,54%,13%,18%,10%,2%,3%,1%,86%,79%,90%,80%,73%,82%,91%,93%,92%
Capitol Hill Montessori School @ Logan,360,20002,-77.00256647,38.89853031,6,PK3-8th,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,80 96 97 D4 D6 D8 X1 X2 X8 X9 DCCirculator,Red Line: Union Station,361,0%,60%,3%,0%,30%,6%,0%,1%,6%,26%,NA,10%,7%,16%,24%,31%,34%,39%,29%,4%,5%,23%,27%,23%,23%,5%,9%,16%,14%,24%,30%,24%,38%,27%,9%,9%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,8%,2%,13%,1%,2%,4%,0%,0%,0%,96%,99%,85%,94%,95%,89%,89%,88%,92%
Langley Elementary School,370,20002,-77.00588662,38.91516879,5,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,80 90 92 G8 G9 M31 P6 X3,,284,1%,86%,7%,0%,5%,1%,0%,7%,24%,100%,54%,44%,36%,23%,26%,25%,19%,5%,20%,2%,0%,23%,27%,23%,23%,5%,45%,51%,21%,19%,21%,17%,11%,11%,2%,2%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,30%,22%,13%,11%,17%,4%,0%,0%,0%,71%,82%,85%,70%,83%,89%,79%,92%,92%
Jefferson Middle School Academy,433,20024,-77.02291066,38.87987093,6,6th-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,52 74 5A P6 V1 V5 W9 A9,Blue/Orange/Silver/Green/Yellow Lines: L'Enfant Plaza Station,305,1%,95%,2%,0%,1%,1%,0%,1%,22%,100%,29%,28%,25%,33%,28%,24%,31%,14%,15%,1%,0%,23%,27%,23%,23%,5%,28%,30%,26%,24%,27%,29%,18%,15%,2%,2%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,22%,12%,19%,30%,36%,17%,1%,1%,1%,83%,86%,82%,75%,73%,75%,88%,95%,92%
McKinley Middle School,435,20002,-77.00412244,38.91522012,5,6th-8th,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,80 90 92 G8 G9 M31 P6 X3,,213,1%,92%,6%,0%,0%,0%,0%,4%,19%,100%,37%,40%,46%,39%,37%,16%,13%,5%,4%,0%,0%,23%,27%,23%,23%,5%,24%,33%,27%,28%,29%,29%,18%,9%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,57%,53%,19%,12%,23%,17%,0%,1%,1%,85%,76%,82%,83%,73%,75%,100%,92%,92%
Dorothy I. Height Elementary School,349,20011,-77.030541,38.9447,4,PK3-5th,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,52 53 54 60 62 63 70 79 D33 S1 S2 S4 S9 W45,,518,1%,62%,35%,0%,2%,0%,0%,39%,10%,100%,NA,18%,21%,22%,30%,29%,30%,24%,17%,6%,2%,23%,27%,23%,23%,5%,25%,27%,22%,24%,23%,26%,26%,19%,4%,3%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,10%,10%,13%,1%,0%,4%,0%,0%,0%,85%,83%,85%,83%,89%,89%,97%,96%,92%
Brookland Middle School,347,20017,-76.991059,38.938476,5,6th-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,80 G8 H1 H2 H3 H4 H6 H8 H9 R4,,254,0%,91%,7%,0%,2%,0%,0%,6%,20%,100%,63%,43%,41%,41%,34%,14%,20%,3%,5%,0%,0%,23%,27%,23%,23%,5%,41%,35%,28%,28%,19%,22%,9%,13%,2%,2%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,28%,53%,19%,26%,36%,17%,2%,3%,1%,70%,69%,82%,53%,51%,75%,NA,100%,92%
Ron Brown College Preparatory High School,436,20019,-76.932705,38.906563,7,9th-10th,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,R12 U4 U7 V14 W4,Orange Line: Deanwood Station,105,0%,96%,3%,0%,0%,1%,0%,1%,22%,96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23%,27%,23%,23%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,75%,NA,54%,5%,NA,10%,1%,NA,1%,87%,NA,90%,94%,NA,82%,NA,NA,92%
Ballou High School,452,20032,-77.00097526,38.83938266,8,9th-12th,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,A2 A4 A6 A7 A8 A9 W1 W4,,930,0%,98%,2%,0%,0%,0%,0%,0%,25%,100%,76%,36%,43%,55%,48%,10%,8%,0%,0%,0%,0%,23%,27%,23%,23%,5%,59%,69%,19%,22%,13%,6%,9%,3%,0%,0%,26%,21%,21%,25%,7%,64%,57%,73%,66%,57%,74%,1%,1%,36%,82%,73%,54%,27%,30%,10%,1%,0%,1%,84%,80%,90%,84%,82%,82%,88%,96%,92%
Dunbar High School,467,20001,-77.012691,38.907627,5,9th-12th,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,80 90 92 96 D4 G2 P6 X3,Green/Yellow Lines: Mt. Vernon Square 7th St-Convention Center Station,584,0%,95%,4%,0%,1%,0%,0%,3%,23%,100%,56%,34%,49%,52%,44%,13%,6%,1%,1%,0%,0%,23%,27%,23%,23%,5%,61%,79%,21%,11%,12%,6%,6%,5%,0%,0%,26%,21%,21%,25%,7%,76%,74%,73%,81%,72%,74%,3%,2%,36%,65%,53%,54%,16%,23%,10%,1%,3%,1%,90%,98%,90%,86%,98%,82%,91%,89%,92%
Duke Ellington School of the Arts,471,20007,-77.070308,38.913446,2,9th-12th,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,30N 30S 31 33 37 D1 D2 D6 G2,,537,2%,77%,11%,0%,7%,3%,0%,1%,6%,100%,NA,10%,16%,39%,40%,42%,35%,10%,9%,0%,0%,23%,27%,23%,23%,5%,17%,23%,12%,11%,25%,27%,39%,28%,7%,10%,26%,21%,21%,25%,7%,93%,96%,73%,96%,88%,74%,30%,28%,36%,29%,27%,54%,3%,1%,10%,1%,0%,1%,92%,86%,90%,65%,58%,82%,NA,75%,92%
Leckie Education Campus,266,20032,-77.01289191,38.82819678,8,PK3-8th,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,A2 A4 A8 A9 W1 W5 W9,,553,0%,78%,7%,0%,8%,5%,1%,1%,8%,100%,41%,30%,24%,34%,28%,21%,23%,14%,24%,0%,1%,23%,27%,23%,23%,5%,19%,20%,24%,24%,28%,28%,24%,24%,4%,4%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,4%,16%,13%,3%,7%,4%,0%,0%,0%,73%,70%,85%,80%,96%,89%,96%,97%,92%
Luke C. Moore High School,884,20017,-76.99231633,38.93227638,5,9th-12th,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,80 G8 H1 H2 H3 H4 H6 H8 H9 R4,Red Line: Brookland-CUA Station,266,0%,94%,5%,0%,0%,0%,0%,2%,12%,100%,NA,55%,35%,42%,61%,3%,4%,0%,0%,0%,0%,23%,27%,23%,23%,5%,79%,87%,9%,12%,12%,2%,0%,0%,0%,0%,26%,21%,21%,25%,7%,35%,38%,73%,49%,51%,74%,NA,NA,NA,78%,72%,54%,4%,7%,10%,0%,1%,1%,96%,95%,90%,99%,98%,82%,100%,86%,92%
McKinley Technology High School,458,20002,-77.00412244,38.91522012,5,9th-12th,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,80 90 92 G8 G9 M31 P6 X3,,619,1%,87%,9%,0%,1%,1%,0%,2%,3%,100%,NA,2%,9%,28%,40%,51%,41%,19%,10%,0%,0%,23%,27%,23%,23%,5%,9%,14%,14%,16%,36%,34%,34%,33%,7%,3%,26%,21%,21%,25%,7%,96%,99%,73%,99%,97%,74%,21%,18%,36%,31%,17%,54%,9%,15%,10%,0%,0%,1%,92%,88%,90%,69%,69%,82%,91%,98%,92%
Miner Elementary School,280,20002,-76.98290432,38.89737602,6,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,B2 D4 D6 D8 X1 X2 X3 X8 X9,,384,1%,86%,4%,0%,8%,2%,0%,3%,16%,100%,51%,35%,23%,30%,32%,19%,21%,16%,24%,0%,0%,23%,27%,23%,23%,5%,41%,37%,27%,31%,24%,23%,8%,9%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1%,0%,13%,12%,5%,4%,0%,0%,0%,63%,75%,85%,48%,74%,89%,96%,100%,92%
Noyes Elementary School,290,20018,-76.99184288,38.92517798,5,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,83 86 B8 B9 D8 G8 G9 H8 H9 M31 P6 S41 T14 T18,,197,0%,90%,9%,1%,0%,0%,0%,5%,21%,100%,68%,23%,37%,29%,25%,24%,25%,24%,14%,0%,0%,23%,27%,23%,23%,5%,41%,33%,27%,40%,20%,19%,12%,6%,0%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,6%,6%,13%,9%,2%,4%,0%,0%,0%,86%,84%,85%,86%,92%,89%,100%,86%,92%
"Phelps Architecture, Construction and Engineering High School",478,20002,-76.97189763,38.90199202,5,9th-12th,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,S41 X1 X2 X3 X9 X8,,328,0%,96%,4%,0%,0%,0%,0%,3%,14%,100%,NA,3%,16%,58%,63%,30%,20%,9%,1%,0%,0%,23%,27%,23%,23%,5%,33%,33%,10%,24%,34%,29%,16%,13%,7%,0%,26%,21%,21%,25%,7%,95%,94%,73%,96%,91%,74%,5%,9%,36%,79%,59%,54%,5%,12%,10%,0%,1%,1%,86%,73%,90%,68%,71%,82%,88%,91%,92%
Randle Highlands Elementary School,316,20020,-76.96435628,38.87009174,7,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,30N 30S 32 34 36 39 B2 D51 M6 S35 V1 V2 V4,,333,0%,98%,1%,0%,0%,0%,0%,0%,13%,100%,48%,18%,23%,33%,35%,30%,25%,17%,13%,2%,3%,23%,27%,23%,23%,5%,30%,30%,32%,31%,25%,32%,13%,6%,0%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,10%,3%,13%,6%,6%,4%,0%,0%,0%,77%,76%,85%,88%,81%,89%,100%,87%,92%
Roosevelt High School,459,20011,-77.029197,38.943029,4,9th-12th,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,52 53 54 60 62 63 70 S1 S2 S4,,668,0%,54%,45%,0%,1%,0%,0%,36%,21%,100%,63%,30%,36%,53%,55%,13%,8%,4%,1%,0%,0%,23%,27%,23%,23%,5%,68%,63%,15%,15%,8%,15%,9%,6%,0%,1%,26%,21%,21%,25%,7%,60%,59%,73%,63%,68%,74%,5%,6%,36%,67%,64%,54%,12%,15%,10%,0%,1%,1%,84%,76%,90%,86%,65%,82%,96%,95%,92%
School Without Walls High School,466,20037,-77.04818647,38.89812412,2,9th-12th,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,30N 30S 31 33 32 36 37 38B 39 80 D1 D4 D5 D6 H1 L1 N2 N4 N6 S1 X1 DCCirculator,Blue/Orange/Silver Lines: Foggy Bottom/GWU Station,585,6%,34%,13%,0%,42%,5%,0%,0%,1%,18%,NA,3%,2%,7%,11%,22%,35%,60%,48%,8%,4%,23%,27%,23%,23%,5%,1%,4%,4%,4%,11%,8%,34%,39%,51%,45%,26%,21%,21%,25%,7%,98%,100%,73%,100%,97%,74%,75%,74%,36%,4%,7%,54%,1%,0%,10%,0%,0%,1%,99%,99%,90%,95%,97%,82%,97%,91%,92%
Smothers Elementary School,322,20019,-76.93846864,38.89355404,7,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,96 97 U5 U6 U8 W4,Blue/Orange/Silver Lines: Benning Rd. Station,253,0%,90%,8%,0%,0%,0%,0%,6%,13%,100%,55%,37%,45%,33%,34%,27%,13%,3%,8%,0%,0%,23%,27%,23%,23%,5%,49%,52%,31%,29%,15%,13%,5%,6%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,15%,3%,13%,13%,19%,4%,0%,0%,0%,71%,65%,85%,70%,54%,89%,91%,77%,92%
Stanton Elementary School,319,20020,-76.96849023,38.85927211,8,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,30N 30S 32 34 36 92 A32 D51 V5 W2 W3 W4 W6 W8 DCCirculator,,520,0%,97%,3%,0%,0%,0%,0%,0%,12%,100%,58%,19%,18%,35%,30%,31%,33%,15%,17%,1%,1%,23%,27%,23%,23%,5%,38%,44%,30%,29%,23%,17%,8%,9%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,25%,20%,13%,7%,5%,4%,0%,0%,0%,68%,63%,85%,84%,91%,89%,87%,85%,92%
Washington Metropolitan High School,474,20001,-77.01558101,38.92043047,1,8th-12th,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,yes,70 79 80 G2 G8 G9,,125,0%,97%,2%,0%,0%,0%,1%,1%,28%,100%,NA,65%,51%,35%,49%,0%,0%,0%,0%,0%,0%,23%,27%,23%,23%,5%,97%,93%,3%,7%,0%,0%,0%,0%,0%,0%,26%,21%,21%,25%,7%,58%,43%,73%,49%,46%,74%,NA,NA,NA,86%,83%,54%,14%,26%,10%,1%,2%,1%,76%,73%,90%,92%,47%,82%,82%,75%,92%
Woodrow Wilson High School,463,20016,-77.0777757,38.95015672,3,9th-12th,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,30N 30S 31 33 96 D31 D32 D33 D34 H2 H3 H4 M4 N2 W45 W47,Red Line: Tenleytown Station,1750,7%,35%,23%,0%,31%,4%,0%,7%,12%,24%,56%,16%,18%,34%,37%,28%,27%,20%,18%,2%,1%,23%,27%,23%,23%,5%,19%,44%,11%,18%,16%,17%,35%,17%,19%,4%,26%,21%,21%,25%,7%,90%,88%,73%,91%,81%,74%,56%,55%,36%,54%,40%,54%,3%,4%,10%,0%,0%,1%,93%,83%,90%,85%,80%,82%,87%,93%,92%
H.D. Woodson High School,464,20019,-76.92232826,38.89678662,7,9th-12th,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,96 97 V2 V4 W4 X9,,634,0%,98%,1%,0%,0%,0%,0%,1%,25%,100%,74%,38%,40%,55%,50%,7%,10%,0%,1%,0%,0%,23%,27%,23%,23%,5%,58%,66%,20%,21%,14%,9%,8%,4%,0%,0%,26%,21%,21%,25%,7%,83%,76%,73%,80%,73%,74%,4%,1%,36%,88%,70%,54%,17%,20%,10%,0%,0%,1%,96%,81%,90%,95%,83%,82%,92%,93%,92%
Browne Education Campus,404,20002,-76.97066706,38.90259888,5,PK3-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,S41 X1 X2 X3 X8 X9,,309,0%,94%,5%,0%,1%,0%,0%,8%,15%,100%,59%,28%,31%,40%,41%,19%,21%,13%,6%,0%,0%,23%,27%,23%,23%,5%,27%,45%,33%,32%,27%,17%,12%,7%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,15%,5%,15%,1%,6%,4%,0%,0%,0%,96%,84%,86%,96%,84%,85%,88%,93%,92%
Malcolm X Elementary School @ Green,308,20032,-76.98339857,38.8416454,8,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,92 94 D51 W1 W2 W3 W4,,237,0%,100%,0%,0%,0%,0%,0%,0%,19%,100%,44%,30%,45%,39%,33%,21%,21%,10%,1%,0%,0%,23%,27%,23%,23%,5%,31%,50%,35%,27%,28%,18%,6%,5%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,24%,7%,13%,3%,6%,4%,0%,0%,0%,86%,75%,85%,93%,89%,89%,NA,82%,92%
CHOICE Academy @ Wash Met,947,20001,-77.01558101,38.92043047,1,6th-12th,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,70 79 80 G2 G8 G9,N/A,5,0%,100%,0%,0%,0%,0%,0%,0%,60%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peabody Elementary School (Capitol Hill Cluster),301,20002,-76.99985799,38.89289632,6,PK3-K,yes,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,90 92 96 97 D6 X8 DCCirculator,Red Line: Union Station,231,2%,26%,4%,0%,58%,11%,0%,0%,6%,14%,75%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
River Terrace Education Campus,304,20019,-76.958964,38.895242,7,3rd-Adult,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,X1 X2 X3 U4,,131,0%,85%,13%,0%,1%,1%,0%,11%,99%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91%,94%,NA
Youth Services Center,861,20002,-76.98858584,38.91213959,5,7th-12th,no,no,no,yes,no,no,yes,no,no,no,no,no,no,D4 D8 E2,,88,0%,95%,5%,0%,0%,0%,0%,3%,51%,95%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Van Ness Elementary School,331,20003,-76.999244,38.87679645,6,PK3-2,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,90 92 A9 P6 V1 V4 V5 DCCirculator,Green Line: Navy Yard Station,171,1%,49%,8%,1%,35%,6%,0%,1%,8%,31%,61%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
School-Within-School @ Goding,943,20002,-76.99318304,38.89756498,6,PK3-5th,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,90 92 D4 D6 D8 X1 X2 X9,,307,1%,19%,4%,0%,69%,7%,0%,0%,19%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inspiring Youth Program,950,20003,-76.97637892,38.88343091,7,9th-12th,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,96 97 B2 D6,Orange/Blue Lines: Stadium-Armory Station,48,0%,96%,4%,0%,0%,0%,0%,2%,67%,85%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ballou STAY High School,462,20032,-77.00097526,38.83938266,8,Adult,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,A2 A4 A6 A7 A8 A9 W1 W4,,466,0%,100%,0%,0%,0%,0%,0%,0%,11%,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75%,80%,81%,5%,3%,3%,0%,0%,0%,95%,90%,95%,96%,96%,97%,91%,90%,92%
Roosevelt STAY High School,456,20011,-77.029197,38.943029,4,Adult,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,52 53 54 60 62 63 70 S1 S2 S4,,613,0%,81%,17%,0%,1%,0%,0%,6%,6%,51%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86%,74%,81%,2%,0%,3%,0%,0%,0%,97%,79%,95%,97%,66%,97%,NA,75%,92%
