School Category,Code,Name,Total Enrolled,PK3,PK4,KG,1,2,3,4,5,6,7,8,9,10,11,12,AO,UN/CE
DCPS Schools ,478,"Phelps Architecture, Construction and Engineering High School",260,0,0,0,0,0,0,0,0,0,0,0,71,72,53,64,0,0
DCPS Schools ,299,Plummer Elementary School,375,28,39,47,51,55,47,59,49,0,0,0,0,0,0,0,0,0
DCPS Schools ,300,Powell Elementary School,548,44,53,74,75,79,74,78,71,0,0,0,0,0,0,0,0,0
DCPS Schools ,316,Randle Highlands Elementary School,325,34,46,35,43,44,48,32,43,0,0,0,0,0,0,0,0,0
DCPS Schools ,302,Raymond Education Campus,589,41,58,76,66,48,56,57,53,39,52,43,0,0,0,0,0,0
DCPS Schools ,436,Ron Brown College Preparatory High School,209,0,0,0,0,0,0,0,0,0,0,0,115,94,0,0,0,0
DCPS Schools ,459,Roosevelt High School,698,0,0,0,0,0,0,0,0,0,0,0,215,217,122,127,0,17
DCPS Schools ,305,Ross Elementary School,174,16,20,23,27,22,28,26,12,0,0,0,0,0,0,0,0,0
DCPS Schools ,307,Savoy Elementary School,267,18,22,32,29,41,34,54,37,0,0,0,0,0,0,0,0,0
DCPS Schools ,409,School Without Walls @ Francis-Stevens,473,40,46,38,36,40,44,44,44,51,46,44,0,0,0,0,0,0
DCPS Schools ,466,School Without Walls High School,592,0,0,0,0,0,0,0,0,0,0,0,155,140,142,155,0,0
DCPS Schools ,943,School-Within-School @ Goding,308,29,41,44,43,45,42,42,22,0,0,0,0,0,0,0,0,0
DCPS Schools ,309,Seaton Elementary School,371,44,48,54,44,52,52,47,30,0,0,0,0,0,0,0,0,0
DCPS Schools ,313,Shepherd Elementary School,364,29,40,45,55,58,43,49,45,0,0,0,0,0,0,0,0,0
DCPS Schools ,315,Simon Elementary School,274,20,25,31,39,32,38,38,51,0,0,0,0,0,0,0,0,0
DCPS Schools ,322,Smothers Elementary School,252,32,44,36,39,21,28,31,21,0,0,0,0,0,0,0,0,0
DCPS Schools ,427,Sousa Middle School,228,0,0,0,0,0,0,0,0,65,85,78,0,0,0,0,0,0
DCPS Schools ,319,Stanton Elementary School,493,29,51,59,73,63,66,79,73,0,0,0,0,0,0,0,0,0
DCPS Schools ,321,Stoddert Elementary School,438,0,20,80,79,71,76,64,48,0,0,0,0,0,0,0,0,0
DCPS Schools ,428,Stuart-Hobson Middle School (Capitol Hill Cluster),422,0,0,0,0,0,0,0,0,146,144,132,0,0,0,0,0,0
DCPS Schools ,324,Takoma Education Campus,473,33,43,46,38,48,54,43,56,38,42,32,0,0,0,0,0,0
DCPS Schools ,325,Thomas Elementary School,384,34,43,61,52,57,40,46,51,0,0,0,0,0,0,0,0,0
DCPS Schools ,326,Thomson Elementary School,308,32,34,44,42,43,36,45,32,0,0,0,0,0,0,0,0,0
DCPS Schools ,327,Truesdell Education Campus,698,44,56,64,67,66,77,73,75,68,57,51,0,0,0,0,0,0
DCPS Schools ,328,Tubman Elementary School,535,26,44,86,84,83,59,90,63,0,0,0,0,0,0,0,0,0
DCPS Schools ,329,Turner Elementary School,463,34,51,51,70,68,56,68,65,0,0,0,0,0,0,0,0,0
DCPS Schools ,330,Tyler Elementary School,525,58,72,74,72,61,61,61,66,0,0,0,0,0,0,0,0,0
DCPS Schools ,331,Van Ness Elementary School,215,34,48,43,56,34,0,0,0,0,0,0,0,0,0,0,0,0
DCPS Schools ,332,Walker-Jones Education Campus,435,37,47,41,52,48,40,51,36,24,28,31,0,0,0,0,0,0
DCPS Schools ,474,Washington Metropolitan High School,195,0,0,0,0,0,0,0,0,0,0,32,75,41,37,10,0,0
DCPS Schools ,333,Watkins Elementary School (Capitol Hill Cluster),428,0,0,0,85,83,90,89,81,0,0,0,0,0,0,0,0,0
DCPS Schools ,336,West Education Campus,330,29,31,27,32,30,35,46,29,30,17,24,0,0,0,0,0,0
DCPS Schools ,335,Wheatley Education Campus,324,31,35,40,21,28,25,45,29,28,24,18,0,0,0,0,0,0
DCPS Schools ,338,Whittier Education Campus,325,26,30,35,30,38,32,35,33,22,22,22,0,0,0,0,0,0
DCPS Schools ,463,Woodrow Wilson High School,1829,0,0,0,0,0,0,0,0,0,0,0,585,418,423,399,0,4
